x1, x2,y
-0.3,-0.91,-1
0.7,0.74,-1
-0.02,-0.79,1
1.05,-0.12,-1
0.02,-0.96,-1
0.43,-0.8,1
-0.7,-0.26,1
0.62,0.81,-1
-0.91,-0.47,-1
-0.54,-0.51,1
-0.78,0.22,1
-0.97,0.32,-1
0.68,-0.69,-1
0.85,0.56,-1
0.72,-0.67,-1
1,0.01,-1
-0.68,0.67,-1
-0.98,-0.28,-1
0.88,-0.55,-1
0.13,-0.78,1
0.57,0.59,1
0.73,-0.35,1
-0.07,-1.01,-1
-0.38,-0.91,-1
0.27,-0.75,1
-0.79,-0.08,1
-0.58,-0.51,1
-0.76,-0.04,1
0.76,0.17,1
0.67,-0.42,1
-0.55,0.54,1
0.52,-0.47,1
-0.45,0.62,1
0.78,-0.61,-1
-0.36,0.88,-1
-0.78,-0.59,-1
0.76,0.33,1
0.64,0.4,1
-0.16,-0.75,1
-0.05,-0.84,1
-0.69,0.44,1
-0.67,0.77,-1
0.18,-0.77,1
-0.62,-0.68,1
0.82,-0.22,1
-0.66,-0.68,-1
0.53,0.88,-1
1.03,0.39,-1
0.48,0.89,-1
1.04,0.09,-1
0.95,-0.12,-1
-0.37,-1,-1
0.71,0.06,1
0.82,0.33,1
-0.67,0.46,1
0.26,0.8,1
-0.37,-0.72,1
0.89,0.45,-1
-0.7,-0.77,-1
-0.4,0.62,1
-0.52,-0.96,-1
0.77,-0.69,-1
-0.03,-1.06,-1
-0.37,0.87,-1
-0.75,0.35,1
-0.01,0.8,1
-0.81,-0.36,-1
0.66,0.54,1
0.65,0.76,-1
-0.08,-0.81,1
-0.16,0.8,1
0.87,0.62,-1
0.64,0.4,1
-0.79,0.15,1
-0.69,-0.27,1
0.47,-0.8,1
0.85,0.58,-1
1,-0.54,-1
-0.97,-0.02,-1
-0.65,-0.72,-1
-0.57,0.63,1
0.83,-0.52,-1
-0.93,-0.34,-1
0.53,0.63,1
0.21,0.98,-1
1.02,0.15,-1
-0.42,-0.69,1
-0.56,-0.86,-1
0.71,-0.15,1
0.71,-0.32,1
0.26,0.73,1
-0.05,0.99,-1
-0.9,0.32,-1
-0.88,0.54,-1
-0.82,-0.15,1
-0.38,0.86,-1
-0.22,0.81,1
-0.23,0.83,-1
-0.28,0.77,1
-0.9,-0.52,-1
0.79,0.21,1
0.82,0.55,-1
0.07,1.03,-1
-0.88,-0.54,-1
-0.73,-0.44,1
-0.66,0.45,1
-0.26,0.94,-1
0.15,-0.91,-1
0.74,0.51,1
-0.4,-0.67,1
0.59,0.59,1
-0.75,0.66,-1
-0.23,-0.75,1
-0.8,0.04,1
0.69,0.58,-1
-0.34,0.74,1
-0.76,-0.67,-1
0.29,-0.75,1
-0.92,0.2,-1
0.2,-0.86,1
0.1,-0.89,1
1.09,0.12,-1
-0.8,0,1
-0.72,-0.07,1
0.69,-0.81,-1
0.49,0.81,-1
-0.75,0.16,1
0.76,0.59,-1
0.22,0.8,1
0.89,-0.58,-1
-0.63,-0.83,-1
-0.1,0.83,1
-0.69,-0.54,1
0.48,0.73,1
-0.48,0.72,1
1.04,-0.08,-1
-0.43,-0.9,-1
-0.8,0.55,-1
-0.04,-1.05,-1
1.07,-0.01,-1
-1.06,-0.3,-1
-0.84,0.07,1
0.19,0.71,1
-0.08,-0.79,1
-0.14,0.86,1
-0.15,-1.01,-1
-1.07,0.08,-1
-0.5,0.57,1
0.92,-0.36,-1
-0.79,0.59,-1
-0.17,-0.97,-1
0.84,0.31,-1
0.75,-0.03,1
-0.24,-0.62,1
-0.11,0.85,1
-0.77,0.25,1
-0.75,0.71,-1
-0.51,-0.82,-1
-0.76,-0.65,-1
-0.92,-0.13,-1
-0.7,0.29,1
0.85,0.09,1
-0.02,-0.81,1
0.27,-0.96,-1
-0.52,-0.75,1
0.87,-0.46,-1
0.22,-0.76,1
-0.77,-0.65,-1
0.61,-0.51,1
-0.72,0.25,1
0.02,0.91,-1
-0.49,0.87,-1
-0.84,0.59,-1
0.71,-0.33,1
-1.07,0.28,-1
0.66,0.78,-1
-0.88,0.5,-1
0.94,-0.15,-1
0.22,-0.72,1
0.39,0.75,1
0.18,1.09,-1
-1.04,0,-1
0.54,0.67,1
-0.29,0.91,-1
0.58,-0.53,1
-0.56,0.91,-1
0.72,0.77,-1
0.74,-0.31,1
0.38,0.9,-1
0.52,-0.51,1
-0.49,0.78,-1
-0.9,-0.48,-1
-0.53,-0.58,1
-0.99,-0.07,-1
0.77,0.21,1
-0.45,0.7,1
0.76,0.45,1
0.75,-0.4,1
-0.72,0.49,-1
0.5,0.68,1
0.94,0.34,-1
-0.51,-0.67,1
0.26,0.83,1
-0.11,0.97,-1
-0.79,0.54,-1
-0.7,0.41,1
-0.14,-0.78,1
0.6,-0.8,-1
0.81,0.03,1
0.19,-0.78,1
-0.63,0.61,1
-0.83,0.26,1
-1.02,0.08,-1
0.36,-0.71,1
-0.62,-0.47,1
-0.72,-0.23,1
0.63,-0.85,-1
-0.4,-0.62,1
0.02,0.78,1
-0.35,-0.69,1
0.57,-0.83,-1
-0.97,-0.11,-1
-0.47,-0.63,1
0.23,0.73,1
-0.49,-0.91,-1
1,-0.39,-1
0.58,0.43,1
-0.49,-0.68,1
0.05,-0.95,-1
-0.87,0.35,-1
-0.09,-0.84,1
0.44,0.71,1
0.84,0.43,-1
0.88,0.39,-1
0.68,0.66,-1
-0.69,-0.63,-1
-0.34,0.9,-1
0.83,-0.45,-1
-0.73,-0.4,1
0.78,-0.16,1
-0.99,0.49,-1
0.84,0.51,-1
0.78,0.38,1
0.84,-0.2,1
0.67,-0.77,-1
0.69,0.74,-1
0.43,0.96,-1
-0.97,0.18,-1
0.77,-0.65,-1
-0.44,0.73,1
-0.23,0.9,-1
0.66,-0.34,1
0.62,0.41,1
-0.91,-0.48,-1
-0.8,-0.12,1
-0.29,0.73,1
-0.67,-0.41,1
-0.04,0.75,1
0.29,-0.71,1
0.64,0.35,1
-0.59,-0.41,1
0.23,-1,-1
0.72,0.28,1
-0.81,-0.27,1
0.41,-0.98,-1
0.49,-0.55,1
-0.47,0.62,1
0.06,0.75,1
0.18,0.97,-1
0.5,-0.8,-1
0.75,-0.11,1
0.69,-0.45,1
0.18,0.84,1
-0.02,1.02,-1
0.85,0.16,1
0.26,0.76,1
0.55,-0.52,1
0.77,-0.23,1
0.14,0.77,1
0.42,-0.94,-1
0.59,-0.38,1
-0.34,-0.7,1
0.55,0.56,1
0.07,-0.84,1
-0.81,-0.04,1
0.19,-1.06,-1
-0.77,0.07,1
-0.23,1.07,-1
-0.83,-0.17,1
0.32,-0.77,1
0.77,0.35,1
0.28,-0.86,-1
-0.58,0.51,1
0.36,-0.73,1
0.76,0.03,1
-0.26,-0.94,-1
0.05,1,-1
0.33,0.94,-1
-1.01,0.14,-1
-0.09,-0.93,-1
