0,1,2,3,4
0.94225,5.8561,1.8762,-0.32544,0.0
3.8999,1.734,1.6011,0.96765,0.0
0.38251,6.8121,1.8128,-0.61251,0.0
-2.5919,-1.0553,3.8949,0.77757,1.0
-2.9672,-13.2869,13.4727,-2.6271,1.0
0.12126,0.22347,-0.47327,0.97024,1.0
2.8672,10.0008,-3.2049,-3.1095,0.0
5.6272,10.0857,-4.2931,-3.8142,0.0
3.6077,6.8576,-1.1622,0.28231,0.0
0.72252,-0.053811,5.6703,-1.3509,0.0
1.2279,4.0309,-4.6435,-3.9125,1.0
-2.9662,-10.3257,8.784,-2.1138,1.0
1.7425,3.6833,-4.0129,-1.7207,1.0
3.7522,-3.6978,3.9943,1.3051,0.0
-5.4414,7.2363,0.10938,-7.5642,1.0
-1.6162,0.80908,8.1628,0.60817,0.0
-0.61442,-0.091058,-0.31818,0.50214,1.0
-1.9423,0.3766,-1.2898,-0.82458,1.0
5.3915,9.9946,-3.8081,-3.3642,0.0
-2.6479,10.1374,-1.331,-5.4707,0.0
-1.5222,10.8409,2.7827,-4.0974,0.0
-2.4365,3.6026,-1.4166,-2.8948,1.0
1.2247,8.7779,-2.2135,-0.80647,0.0
-1.7101,-8.7903,7.9735,-0.45475,1.0
-0.62684,-6.301,4.7843,1.106,1.0
-1.8187,-9.0366,9.0162,-0.12243,1.0
4.0632,3.584,0.72545,0.39481,0.0
4.068,-2.9363,2.1992,0.50084,0.0
0.22432,-0.52147,-0.40386,1.2017,1.0
-0.11783,-1.5789,8.03,-0.028031,0.0
4.9923,7.8653,-2.3515,-0.71984,0.0
-3.9933,2.6218,0.62863,-1.1595,1.0
-1.4454,-8.4385,8.8483,0.96894,1.0
1.1518,1.3864,5.2727,-0.43536,0.0
-0.75793,2.5349,-3.0464,-1.2629,1.0
-1.8974,3.5074,-1.7842,-3.8491,1.0
-2.456,-0.24418,1.4041,-0.45863,1.0
-0.71494,-4.4448,2.2241,0.49826,1.0
0.4283,-0.94981,-1.0731,0.3211,1.0
3.2718,1.7837,2.1161,0.61334,0.0
-2.799,1.9679,-0.42357,-2.1125,1.0
2.8523,9.0096,-3.761,-3.3371,0.0
-2.6989,12.1984,0.67661,-8.5482,0.0
1.5691,6.3465,-0.1828,-2.4099,0.0
-3.3203,-0.02691,2.9618,-0.44958,1.0
-0.64326,2.4748,-2.9452,-1.0276,1.0
-2.1786,-6.4479,6.0344,-0.20777,1.0
-1.1391,1.8127,6.9144,0.70127,0.0
-0.2951,9.0489,-0.52725,-2.0789,0.0
5.7823,5.5788,-2.4089,-0.056479,0.0
-1.3907,-1.3781,2.3055,-0.021566,1.0
3.3951,1.1484,2.1401,2.0862,0.0
-0.83121,0.039307,0.05369,-0.23105,1.0
6.5633,9.8187,-4.4113,-3.2258,0.0
-3.8858,-12.8461,12.7957,-3.1353,1.0
-5.2943,-5.1463,10.3332,-1.1181,1.0
-0.036127,1.525,-1.4089,-0.76121,1.0
-2.1674,0.12415,-1.0465,-0.86208,1.0
-2.0545,-10.8679,9.4926,-1.4116,1.0
-3.5798,0.45937,2.3457,-0.45734,1.0
-1.5851,-2.1562,1.7082,0.9017,1.0
-3.3604,-0.32696,2.1324,0.6017,1.0
-0.83535,0.80494,-1.6411,-0.19225,1.0
-2.2183,-1.254,2.9986,0.36378,1.0
5.8862,5.8747,-2.8167,-0.30087,0.0
0.96708,3.8426,-4.9314,-4.1323,1.0
0.96788,7.1907,1.2798,-2.4565,0.0
5.8782,5.9409,-2.8544,-0.60863,0.0
3.5862,-3.0957,2.8093,0.24481,0.0
-2.1059,1.1815,-0.53324,-0.82716,1.0
-5.0301,7.5032,-0.13396,-7.5034,1.0
2.5605,9.2683,-3.5913,-1.356,0.0
3.404,8.7261,-2.9915,-0.57242,0.0
4.8278,7.7598,-2.4491,-1.2216,0.0
3.9121,2.9735,0.92852,0.60558,0.0
2.6799,3.1349,0.34073,0.58489,0.0
-2.8957,-12.0205,11.9149,-2.7552,1.0
2.549,6.1499,-1.1605,-1.2371,0.0
1.5902,2.2948,3.2403,0.18404,0.0
2.7961,2.121,1.8385,0.38317,0.0
-0.70867,-5.5602,4.0483,0.903,1.0
3.9362,10.1622,-3.8235,-4.0172,0.0
-1.8483,0.31038,0.77344,1.4189,1.0
-0.278,8.1881,-3.1338,-2.5276,0.0
4.7285,2.1065,-0.28305,1.5625,0.0
4.4338,9.887,-4.6795,-3.7483,0.0
-5.9034,6.5679,0.67661,-6.6797,1.0
1.0117,0.9022,-2.3506,0.42714,1.0
-0.88728,2.808,-3.1432,-1.2035,1.0
-2.341,12.3784,0.70403,-7.5836,0.0
-0.28696,3.1784,-3.5767,-3.1896,1.0
2.5559,3.3605,2.0321,0.26809,0.0
2.6213,5.7919,0.065686,-1.5759,0.0
-0.91718,9.9884,1.1804,-5.2263,0.0
3.583,-3.7971,3.4391,-0.12501,0.0
-2.2811,-0.85669,2.7185,0.044382,1.0
0.11032,1.9741,-3.3668,-0.65259,1.0
-2.4725,-0.40145,1.4855,1.1189,1.0
-3.8552,3.5219,-0.38415,-3.8608,1.0
-0.55648,3.2136,-3.3085,-2.7965,1.0
2.9736,8.7944,-3.6359,-1.3754,0.0
-2.7264,3.9213,-0.49212,-3.6371,1.0
-0.78289,11.3603,-0.37644,-7.0495,0.0
1.2572,4.8731,-5.2861,-5.8741,1.0
1.2138,8.7986,-2.1672,-0.74182,0.0
-0.8734,-0.033118,-0.20165,0.55774,1.0
1.0194,1.1029,-2.3,0.59395,1.0
0.11806,0.39108,-0.98223,0.42843,1.0
-0.2062,9.2207,-3.7044,-6.8103,0.0
4.6499,7.6336,-1.9427,-0.37458,0.0
-1.366,0.18416,0.90539,1.5806,1.0
2.877,-4.0599,3.6259,-0.32544,0.0
4.6361,-2.6611,2.8358,1.1991,0.0
0.15423,0.11794,-1.6823,0.59524,1.0
5.1321,-0.031048,0.32616,1.1151,0.0
3.4647,-3.9172,3.9746,0.36119,0.0
-2.8833,1.7713,0.68946,-0.4638,1.0
1.4884,3.6274,3.308,0.48921,0.0
5.0214,8.0764,-3.0515,-1.7155,0.0
0.18868,0.70148,-0.51182,0.0055892,1.0
3.7818,-2.8846,2.2558,-0.15734,0.0
3.5358,6.7086,-0.81857,0.47886,0.0
-2.2153,11.9625,0.078538,-7.7853,0.0
-0.16735,7.6274,1.2061,-3.6241,0.0
-0.89409,3.1991,-1.8219,-2.9452,1.0
1.0191,2.33,4.9334,0.82929,0.0
3.7767,9.7794,-3.9075,-3.5323,0.0
0.39012,-0.14279,-0.031994,0.35084,1.0
2.6719,3.0646,0.37158,0.58619,0.0
1.8799,2.4707,2.4931,0.37671,0.0
5.262,3.9834,-1.5572,1.0103,0.0
3.4667,-4.0724,4.2882,1.5418,0.0
2.614,8.0081,-3.7258,-1.3069,0.0
2.4235,9.5332,-3.0789,-2.7746,0.0
-1.7344,2.0175,7.7618,0.93532,0.0
-2.0759,10.8223,2.6439,-4.837,0.0
-0.8172,3.3812,-3.6684,-3.456,1.0
3.6289,0.81322,1.6277,0.77627,0.0
3.3583,10.3567,-3.7301,-3.6991,0.0
2.7831,10.9796,-3.557,-4.4039,0.0
-0.39416,-0.020702,-0.066267,-0.44699,1.0
-1.7697,3.4329,-1.2144,-2.3789,1.0
-1.5228,-6.4789,5.7568,0.87325,1.0
5.3586,3.7557,-1.7345,1.0789,0.0
3.8384,6.1851,-2.0439,-0.033204,0.0
3.3756,-4.0951,4.367,1.0698,0.0
0.2346,-4.5152,2.1195,1.4448,1.0
3.4312,6.2637,-1.9513,-0.36165,0.0
-0.23356,3.2405,-3.0669,-2.7784,1.0
-1.3887,-4.8773,6.4774,0.34179,1.0
2.888,0.44696,4.5907,-0.24398,0.0
-3.38,-0.7077,2.5325,0.71808,1.0
3.2692,3.4184,0.20706,-0.066824,0.0
-1.48,-10.5244,9.9176,-0.5026,1.0
3.4916,8.5709,-3.0326,-0.59182,0.0
2.4287,9.3821,-3.2477,-1.4543,0.0
-0.38388,-1.0471,8.0514,0.49567,0.0
1.0987,0.6394,5.989,-0.58277,0.0
4.5707,7.2094,-3.2794,-1.4944,0.0
0.49571,10.2243,-1.097,-4.0159,0.0
3.8644,3.7061,0.70403,0.35214,0.0
1.0284,9.767,-1.3687,-1.7853,0.0
0.49665,5.527,1.7785,-0.47156,0.0
-4.8861,7.0542,-0.17252,-6.959,1.0
3.946,6.8514,-1.5443,-0.5582,0.0
-0.8734,1.6533,-2.1964,-0.78061,1.0
2.4226,-4.5752,5.947,0.21507,0.0
3.8832,6.4023,-2.432,-0.98363,0.0
1.5799,-4.7076,7.9186,-1.5487,0.0
2.1616,-6.8804,8.1517,-0.081048,0.0
-1.6677,-7.1535,7.8929,0.96765,1.0
1.5099,0.039307,6.2332,-0.30346,0.0
-2.121,-0.05588,1.949,1.353,1.0
0.37637,-0.82358,0.78543,0.74524,1.0
-5.1661,8.0433,0.044265,-4.4983,1.0
-4.2887,-7.8633,11.8387,-1.8978,1.0
2.2429,-4.1427,5.2333,-0.40173,0.0
3.4769,-0.15314,2.53,2.4495,0.0
1.6408,4.2503,-4.9023,-2.6621,1.0
5.1129,-0.49871,0.62863,1.1189,0.0
4.0715,7.6398,-2.0824,-1.1698,0.0
1.0009,7.7846,-0.28219,-2.6608,0.0
2.6718,5.6574,0.72974,-1.4892,0.0
-4.2091,4.7283,-0.49126,-5.2159,1.0
3.2704,6.9321,-1.0456,0.23447,0.0
0.56953,7.6294,1.5754,-3.2233,0.0
3.6702,2.9942,0.85141,0.30688,0.0
-2.2987,-5.227,5.63,0.91722,1.0
0.87603,6.8141,0.84198,-0.17156,0.0
2.7744,6.8576,-1.0671,0.075416,0.0
2.7659,0.66216,4.1494,-0.28406,0.0
-0.77688,0.13036,-0.031137,-0.35389,1.0
-1.6662,-0.30005,1.4238,0.024986,1.0
-2.9146,4.0537,-0.45699,-4.0327,1.0
-2.2083,-9.1069,8.9991,-0.28406,1.0
4.6352,-3.0087,2.6773,1.212,0.0
1.8216,-6.4748,8.0514,-0.41855,0.0
-3.4917,-12.1736,14.3689,-0.61639,1.0
-0.90784,-7.9026,6.7807,0.34179,1.0
0.67886,4.1199,-4.569,-4.1414,1.0
0.26637,0.73252,-0.67891,0.03533,1.0
0.52374,3.644,-4.0746,-1.9909,1.0
1.7875,4.78,-5.1362,-3.2362,1.0
-4.1409,3.4619,-0.47841,-3.8879,1.0
4.1711,8.722,-3.0224,-0.59699,0.0
-0.36279,8.2895,-1.9213,-3.3332,0.0
5.2012,0.32694,0.17965,1.1797,0.0
2.0153,0.43661,4.5864,-0.3151,0.0
3.4246,-0.14693,0.80342,0.29136,0.0
3.9663,10.1684,-4.1131,-4.6056,0.0
-1.0555,0.79459,-1.6968,-0.46768,1.0
2.6415,7.586,-0.28562,-1.6677,0.0
3.757,-5.4236,3.8255,-1.2526,0.0
1.8205,6.7562,0.0099913,0.39481,0.0
0.53936,3.8944,-4.8166,-4.3418,1.0
0.1848,6.5079,2.0133,-0.87242,0.0
-1.749,-6.332,6.0987,0.14266,1.0
2.6104,8.0081,-0.23592,-1.7608,0.0
-5.3857,9.1214,-0.41929,-5.9181,1.0
4.0446,11.1741,-4.3582,-4.7401,0.0
0.61652,3.8944,-4.7275,-4.3948,1.0
-1.9922,11.6542,2.6542,-5.2107,0.0
-0.3489,3.1929,-3.4054,-3.1832,1.0
-2.8267,-9.0407,9.0694,-0.98233,1.0
-3.793,-12.7095,12.7957,-2.825,1.0
3.1219,-3.137,1.9259,-0.37458,0.0
5.7867,7.8902,-2.6196,-0.48708,0.0
3.9719,1.0367,0.75973,1.0013,0.0
4.1373,0.49248,1.093,1.8276,0.0
-3.2238,2.7935,0.32274,-0.86078,1.0
2.0466,2.03,2.1761,-0.083634,0.0
2.8237,2.8597,0.19678,0.57196,0.0
-0.0012852,0.13863,-0.19651,0.0081754,1.0
-4.1429,2.7749,0.68261,-0.71984,1.0
3.2351,9.647,-3.2074,-2.5948,0.0
-2.9915,-6.6258,8.6521,1.8198,1.0
4.1605,11.2196,-3.6136,-4.0819,0.0
-3.7244,1.9037,-0.035421,-2.5095,1.0
-2.3147,3.6668,-0.6969,-1.2474,1.0
-3.8053,2.4273,0.6809,-1.0871,1.0
0.9297,-3.7971,4.6429,-0.2957,0.0
2.093,8.3061,0.022844,-3.2724,0.0
3.6941,-3.9482,4.2625,1.1577,0.0
0.77124,9.0862,-1.2281,-1.4996,0.0
-1.3995,-1.9162,2.5154,0.59912,1.0
3.0329,2.2948,2.1135,0.35084,0.0
2.7206,9.0821,-3.3111,-0.96811,0.0
-0.38214,8.3909,2.1624,-3.7405,0.0
-3.5895,-6.572,10.5251,-0.16381,1.0
4.3398,-5.3036,3.8803,-0.70432,0.0
0.88298,0.66009,6.0096,-0.43277,0.0
3.3848,3.2674,0.90967,0.25128,0.0
0.17346,7.8695,0.26876,-3.7883,0.0
-3.0866,-6.6362,10.5405,-0.89182,1.0
-1.8343,-6.5907,5.6429,0.54998,1.0
0.0071249,8.3661,0.50781,-3.8155,0.0
2.2517,-5.1422,4.2916,-1.2487,0.0
-1.0833,-0.31247,1.2815,0.41291,1.0
3.3397,-4.6145,3.9823,-0.23751,0.0
2.7213,7.05,-0.58808,0.41809,0.0
3.884,10.0277,-3.9298,-4.0819,0.0
0.87256,9.2931,-0.7843,-2.1978,0.0
2.1059,7.6046,-0.47755,-1.8461,0.0
-2.3142,-0.68494,1.9833,-0.44829,1.0
0.80355,2.8473,4.3439,0.6017,0.0
0.030219,-1.0512,1.4024,0.77369,1.0
0.33111,4.5731,2.057,-0.18967,0.0
1.5673,7.9274,-0.056842,-2.1694,0.0
1.594,4.7055,1.3758,0.081882,0.0
4.9852,8.3516,-2.5425,-1.2823,0.0
1.3234,3.2964,0.2362,-0.11984,0.0
-2.5346,-0.77392,3.3602,0.00171,1.0
2.0843,6.6258,0.48382,-2.2134,0.0
-0.60254,1.7237,-2.1501,-0.77027,1.0
3.7798,-3.3109,2.6491,0.066365,0.0
-0.36372,3.0439,-3.4816,-2.7836,1.0
0.63655,5.2022,-5.2159,-6.1211,1.0
1.0607,2.4542,2.5188,-0.17027,0.0
-6.7387,6.9879,0.67833,-7.5887,1.0
3.2697,-4.3414,3.6884,-0.29829,0.0
0.11592,3.2219,-3.4302,-2.8457,1.0
4.4549,2.4976,1.0313,0.96894,0.0
-1.7015,-0.010356,-0.99337,-0.53104,1.0
-2.7338,0.45523,2.4391,0.21766,1.0
4.7432,2.1086,0.1368,1.6543,0.0
0.64376,3.764,-4.4738,-4.0483,1.0
1.2198,2.0982,-3.1954,0.12843,1.0
-1.7263,-6.0237,5.2419,0.29524,1.0
-3.2778,1.8023,0.1805,-2.3931,1.0
-1.9116,-6.1603,5.606,0.48533,1.0
2.6946,6.7976,-0.40301,0.44912,0.0
1.2746,8.8172,-1.5323,-1.7957,0.0
4.9294,0.27727,0.20792,0.33662,0.0
-0.24811,-0.17797,4.9068,0.15429,0.0
-1.7322,-9.2828,7.719,-1.7168,1.0
3.0934,-2.9177,2.2232,0.22283,0.0
4.988,7.2052,-3.2846,-1.1608,0.0
5.2418,10.5388,-4.1174,-4.2797,0.0
3.8584,0.78425,1.1033,1.7008,0.0
-2.2173,1.4671,-0.72689,-1.1724,1.0
0.81583,4.84,-5.2613,-6.0823,1.0
1.3566,4.2358,2.1341,0.3211,0.0
-0.74324,-0.32902,-0.42785,0.23317,1.0
-2.9138,-9.4711,9.7668,-0.60216,1.0
0.19081,9.1297,-3.725,-5.8224,0.0
2.1752,-0.8091,5.1022,-0.67975,0.0
-4.577,3.4515,0.66719,-0.94742,1.0
0.50813,0.47799,-1.9804,0.57714,1.0
-2.484,12.1611,2.8204,-3.7418,0.0
0.7049,0.17174,-1.7859,0.36119,1.0
-3.7181,-8.5089,12.363,-0.95518,1.0
0.3292,-4.4552,4.5718,-0.9888,0.0
-4.2859,8.5234,3.1392,-0.91639,0.0
-4.211,-12.4736,14.9704,-1.3884,1.0
-2.0891,-0.48422,1.704,1.7435,1.0
-2.7143,11.4535,2.1092,-3.9629,0.0
-2.0662,0.16967,-1.0054,-0.82975,1.0
2.2123,-5.8395,7.7687,-0.85302,0.0
5.4188,10.1457,-4.084,-3.6991,0.0
-2.9821,4.1986,-0.5898,-3.9642,1.0
4.7926,1.7071,-0.051701,1.4926,0.0
2.8297,6.3485,-0.73546,-0.58665,0.0
-3.0,-9.1566,9.5766,-0.73018,1.0
0.0040545,0.62905,-0.64121,0.75817,1.0
-0.16108,-6.4624,8.3573,-1.5216,0.0
0.85574,0.0082678,6.6042,-0.53104,0.0
0.86816,10.2429,-1.4912,-4.0082,0.0
4.0047,0.45937,1.3621,1.6181,0.0
-3.7503,-13.4586,17.5932,-2.7771,1.0
-4.0786,2.9239,0.87026,-0.65389,1.0
1.6032,-4.7863,8.5193,-2.1203,0.0
3.6181,-3.7454,2.8273,-0.71208,0.0
4.2164,9.4607,-4.9288,-5.2366,0.0
2.4673,1.3926,1.7125,0.41421,0.0
1.8533,6.1458,1.0176,-2.0401,0.0
1.6426,3.0149,0.22849,-0.147,0.0
2.9421,7.4101,-0.97709,-0.88406,0.0
-4.2333,4.9166,-0.49212,-5.3207,1.0
4.0102,10.6568,-4.1388,-5.0646,0.0
3.744,0.79459,0.95851,1.0077,0.0
-0.41645,0.32487,-0.33617,-0.36036,1.0
-3.0265,-0.062088,0.68604,-0.055186,1.0
0.26877,4.987,-5.1508,-6.3913,1.0
-2.3242,11.5176,1.8231,-5.375,0.0
-0.49281,3.0605,-1.8356,-2.834,1.0
-4.3773,-5.5167,10.939,-0.4082,1.0
4.0932,5.4132,-1.8219,0.23576,0.0
-6.651,6.7934,0.68604,-7.5887,1.0
-2.8391,-6.63,10.4849,-0.42113,1.0
-2.4604,12.7302,0.91738,-7.6418,0.0
2.3729,10.4726,-3.0087,-3.2013,0.0
2.1464,6.0795,-0.5778,-2.2302,0.0
1.5514,3.8013,-4.9143,-3.7483,1.0
-1.8554,-9.6035,7.7764,-0.97716,1.0
0.83292,7.5404,0.65005,-0.92544,0.0
-1.4106,-7.108,5.6454,0.31335,1.0
-1.2943,2.6735,-0.84085,-2.0323,1.0
-4.244,-13.0634,17.1116,-2.8017,1.0
-2.6286,0.18002,1.7956,0.97282,1.0
-0.21661,8.0329,1.8848,-3.8853,0.0
1.762,4.3682,2.1384,0.75429,0.0
0.5195,-3.2633,3.0895,-0.9849,0.0
2.6463,-4.8152,6.3549,0.003003,0.0
1.5478,9.1814,-1.6326,-1.7375,0.0
4.3846,-4.8794,3.3662,-0.029324,0.0
4.8906,-3.3584,3.4202,1.0905,0.0
-2.7028,1.6327,0.83598,-0.091393,1.0
1.1315,7.9212,1.093,-2.8444,0.0
-0.016103,9.7484,0.15394,-1.6134,0.0
-2.2261,12.5398,2.9438,-3.5258,0.0
-1.3274,9.498,2.4408,-5.2689,0.0
4.2772,2.4955,0.48554,0.36119,0.0
-1.8356,-6.7562,5.0585,-0.55044,1.0
3.8481,10.1539,-3.8561,-4.2228,0.0
3.6244,1.4609,1.3501,1.9284,0.0
-1.786,-8.1157,7.0858,-1.2112,1.0
-2.1405,-0.16762,1.321,-0.20906,1.0
2.9856,7.2673,-0.409,-2.2431,0.0
2.3925,9.798,-3.0361,-2.8224,0.0
-0.36506,2.8928,-3.6461,-3.0603,1.0
4.3848,-3.0729,3.0423,1.2741,0.0
4.1529,-3.9358,2.8633,-0.017686,0.0
-0.8471,3.1329,-3.0112,-2.9388,1.0
-3.6053,-5.974,10.0916,-0.82846,1.0
2.5503,-4.9518,6.3729,-0.41596,0.0
-0.77848,3.4019,-3.4859,-3.5569,1.0
0.81356,9.1566,-2.1492,-4.1814,0.0
4.0552,0.40143,1.4563,0.65343,0.0
0.3292,-4.4552,4.5718,-0.9888,0.0
0.59823,3.5012,-3.9795,-1.7841,1.0
-0.97325,-6.4168,5.6026,1.0323,1.0
3.5912,3.0129,0.72888,0.56421,0.0
-2.1234,1.1815,-0.55552,-0.81165,1.0
3.9414,-3.2902,3.1674,1.0866,0.0
4.7181,10.0153,-3.9486,-3.8582,0.0
5.2756,0.13863,0.12138,1.1435,0.0
-3.3884,-8.215,10.3315,0.98187,1.0
3.966,3.9213,0.70574,0.33662,0.0
-1.5621,-2.2121,4.2591,0.27972,1.0
-0.64472,-4.6062,8.347,-2.7099,0.0
-2.2214,-0.23798,0.56008,0.05602,1.0
-2.2623,12.1177,0.28846,-7.7581,0.0
2.5678,3.5136,0.61406,-0.40691,0.0
-3.2305,-7.2135,11.6433,-0.94613,1.0
4.0713,10.4023,-4.1722,-4.7582,0.0
-2.4621,2.7645,-0.62578,-2.8573,1.0
1.3349,6.1189,0.46497,0.49826,0.0
0.75108,1.9161,-3.1098,-0.20518,1.0
4.1962,0.74493,0.83256,0.753,0.0
-1.5572,-9.8808,8.1088,-1.0806,1.0
-1.6637,3.2881,-2.2701,-2.2224,1.0
-4.2932,3.3419,0.77258,-0.99785,1.0
5.0297,-4.9704,3.5025,-0.23751,0.0
2.4012,1.6223,3.0312,0.71679,0.0
-2.5701,-6.8452,8.9999,2.1353,1.0
4.1454,7.257,-1.9153,-0.86078,0.0
5.2423,11.0272,-4.353,-4.1013,0.0
-1.5055,0.070346,6.8681,-0.50648,0.0
-1.3931,1.5664,7.5382,0.78403,0.0
5.591,10.4643,-4.3839,-4.3379,0.0
3.9772,0.33521,2.2566,2.1625,0.0
-1.0112,2.9984,-1.1664,-1.6185,1.0
1.1811,8.3847,-2.0567,-0.90345,0.0
-2.2804,-0.30626,1.3347,1.3763,1.0
-5.3012,7.3915,0.029699,-7.3987,1.0
1.8238,-6.7748,8.3873,-0.54139,0.0
-1.3414,-1.9162,-0.15538,-0.11984,1.0
-0.71868,-5.7154,3.8298,1.0233,1.0
-1.3612,10.694,1.7022,-2.9026,0.0
-2.4941,3.5447,-1.3721,-2.8483,1.0
-4.1958,-8.1819,12.1291,-1.6017,1.0
-3.4605,2.6901,0.16165,-1.0224,1.0
5.4021,3.1039,-1.1536,1.5651,0.0
-4.4779,7.3708,-0.31218,-6.7754,1.0
-3.9698,3.6812,-0.60008,-4.0133,1.0
4.8368,10.0132,-4.3239,-4.3276,0.0
-2.234,-7.0314,7.4936,0.61334,1.0
4.3435,3.3295,0.83598,0.64955,0.0
2.4391,6.4417,-0.80743,-0.69139,0.0
-1.3414,-2.0776,2.8093,0.60688,1.0
-1.7599,11.9211,2.6756,-3.3241,0.0
-2.3361,11.9604,3.0835,-5.4435,0.0
-6.3979,6.4479,1.0836,-6.6176,1.0
2.0421,1.2436,4.2171,0.90429,0.0
1.2616,4.4303,-1.3335,-1.7517,0.0
-4.8554,-5.9037,10.9818,-0.82199,1.0
4.2586,11.2962,-4.0943,-4.3457,0.0
4.1038,-4.8069,3.3491,-0.49225,0.0
-3.8826,4.898,-0.92311,-5.0801,1.0
-2.6649,-12.813,12.6689,-1.9082,1.0
0.66365,-0.045533,-0.18794,0.23447,1.0
0.5734,9.1938,-0.9094,-1.872,0.0
4.0215,-2.1914,2.4648,1.1409,0.0
-0.092194,0.39315,-0.32846,-0.13794,1.0
-3.4083,4.8587,-0.76888,-4.8668,1.0
3.5829,1.4423,1.0219,1.4008,0.0
-2.3629,-0.10554,1.9336,1.1358,1.0
0.33565,6.8369,0.69718,-0.55691,0.0
-3.5933,0.22968,0.7126,-0.3332,1.0
-1.7886,-6.3486,5.6154,0.42584,1.0
-0.50816,2.868,-1.8108,-2.2612,1.0
-3.2051,-0.14279,0.97565,0.045675,1.0
4.0405,0.51524,1.0279,1.106,0.0
2.0962,2.4769,1.9379,-0.040962,0.0
5.7353,5.2808,-2.2598,0.075416,0.0
4.5447,8.2274,-2.4166,-1.5875,0.0
-2.3797,-1.4402,1.1273,0.16076,1.0
3.3577,-4.3062,6.0241,0.18274,0.0
0.90407,3.3708,-4.4987,-3.6965,1.0
-0.89809,-4.4862,2.2009,0.50731,1.0
-0.45062,-1.3678,7.0858,-0.40303,0.0
0.3798,0.7098,0.7572,-0.4444,0.0
3.4591,11.112,-4.2039,-5.0931,0.0
2.031,1.852,-3.0121,0.003003,1.0
-0.40857,3.0977,-2.9607,-2.6892,1.0
2.0165,-0.25246,5.1707,1.0763,0.0
0.57461,10.1105,-1.6917,-4.3922,0.0
-4.5531,-12.5854,15.4417,-1.4983,1.0
