# x, y
0.57,5.30,-1.00
1.35,0.21,1.00
0.60,4.02,-1.00
0.85,1.12,1.00
1.94,0.95,1.00
-0.62,4.67,-1.00
1.89,0.74,1.00
1.07,0.65,1.00
2.15,0.96,1.00
1.85,0.42,1.00
0.92,4.42,-1.00
1.13,1.15,1.00
1.32,4.18,-1.00
1.85,0.55,1.00
2.41,0.68,1.00
2.17,0.67,1.00
1.66,3.56,-1.00
-0.56,4.70,-1.00
1.65,1.91,1.00
1.85,0.09,1.00
0.28,4.77,-1.00
2.57,0.41,1.00
1.84,1.54,1.00
2.91,1.14,1.00
1.44,4.52,-1.00
1.71,5.03,-1.00
2.47,0.26,1.00
1.67,4.95,-1.00
1.21,0.54,1.00
1.73,0.91,1.00
1.49,3.91,-1.00
1.46,4.35,-1.00
0.45,3.96,-1.00
0.70,3.45,-1.00
0.28,4.12,-1.00
2.20,2.18,1.00
0.82,4.79,-1.00
1.49,1.04,1.00
1.44,4.80,-1.00
0.36,4.09,-1.00
2.15,4.54,-1.00
1.53,4.50,-1.00
2.81,1.02,1.00
0.67,5.75,-1.00
1.83,0.33,1.00
2.23,1.15,1.00
1.14,4.24,-1.00
0.67,4.04,-1.00
1.56,0.06,1.00
0.69,4.68,-1.00
1.16,3.79,-1.00
0.62,3.63,-1.00
1.44,3.59,-1.00
2.42,1.43,1.00
2.22,0.42,1.00
1.18,0.49,1.00
2.27,0.81,1.00
0.64,0.91,1.00
1.06,4.11,-1.00
1.99,0.30,1.00
1.76,0.85,1.00
0.62,4.27,-1.00
1.10,4.89,-1.00
2.00,1.72,1.00
2.38,1.16,1.00
1.99,0.91,1.00
1.75,0.41,1.00
2.68,0.30,1.00
0.20,4.46,-1.00
0.40,3.83,-1.00
0.95,4.44,-1.00
0.11,4.78,-1.00
2.62,1.14,1.00
0.60,4.09,-1.00
1.54,1.99,1.00
2.05,0.90,1.00
1.81,0.38,1.00
1.24,0.87,1.00
2.83,-0.01,1.00
0.89,4.99,-1.00
1.69,1.83,1.00
1.25,4.47,-1.00
1.49,4.99,-1.00
1.69,4.49,-1.00
0.27,5.47,-1.00
1.36,3.33,-1.00
2.02,4.71,-1.00
0.30,3.87,-1.00
2.95,1.21,1.00
2.35,1.53,1.00
1.65,3.66,-1.00
1.35,3.34,-1.00
-0.28,4.38,-1.00
2.18,0.17,1.00
0.90,4.95,-1.00
1.79,0.51,1.00
2.42,0.09,1.00
1.05,4.54,-1.00
1.21,3.65,-1.00
0.74,4.53,-1.00
0.43,4.33,-1.00
1.75,0.27,1.00
0.73,5.04,-1.00
-0.08,4.57,-1.00
0.40,4.10,-1.00
2.19,1.13,1.00
2.23,1.40,1.00
0.87,3.82,-1.00
1.48,4.15,-1.00
2.25,1.21,1.00
1.16,5.10,-1.00
2.41,4.87,-1.00
2.03,2.33,1.00
0.51,0.21,1.00
1.58,1.04,1.00
1.66,1.00,1.00
2.08,-0.04,1.00
1.98,1.14,1.00
1.57,0.62,1.00
1.32,0.71,1.00
2.64,2.18,1.00
1.52,4.49,-1.00
2.79,0.94,1.00
1.60,1.23,1.00
3.55,-0.45,1.00
2.90,0.65,1.00
1.08,0.86,1.00
0.97,4.53,-1.00
1.32,4.51,-1.00
3.61,0.66,1.00
0.96,3.86,-1.00
2.52,-0.10,1.00
0.54,3.47,-1.00
2.62,1.75,1.00
0.94,5.33,-1.00
2.19,1.10,1.00
0.91,4.55,-1.00
1.50,4.23,-1.00
0.95,3.60,-1.00
-0.00,4.58,-1.00
2.07,0.86,1.00
1.29,0.55,1.00
-0.08,4.52,-1.00
1.26,-0.28,1.00
1.19,4.73,-1.00
2.27,5.11,-1.00
1.23,4.71,-1.00
1.39,4.72,-1.00
1.43,4.38,-1.00
1.65,1.09,1.00
1.50,0.79,1.00
2.54,1.25,1.00
1.57,0.23,1.00
1.66,-0.80,1.00
2.09,0.77,1.00
2.34,1.08,1.00
2.19,1.73,1.00
1.35,1.68,1.00
-0.19,4.42,-1.00
0.38,3.42,-1.00
1.54,4.21,-1.00
0.67,3.72,-1.00
2.33,4.28,-1.00
1.54,2.66,-1.00
1.09,0.37,1.00
-0.13,4.02,-1.00
2.24,0.07,1.00
0.98,5.38,-1.00
2.46,0.67,1.00
0.67,3.60,-1.00
0.57,4.09,-1.00
1.01,4.60,-1.00
1.20,2.10,1.00
-0.04,4.54,-1.00
1.78,1.06,1.00
0.35,3.45,-1.00
0.68,5.46,-1.00
2.17,1.90,1.00
1.34,4.86,-1.00
1.46,4.34,-1.00
1.90,5.19,-1.00
2.34,0.99,1.00
1.45,4.02,-1.00
2.89,0.72,1.00
0.53,3.81,-1.00
2.32,1.00,1.00
2.37,1.15,1.00
3.46,0.13,1.00
0.94,4.24,-1.00
1.82,0.63,1.00
2.06,1.84,1.00
1.54,0.91,1.00
1.49,2.71,-1.00
2.27,1.78,1.00
1.82,0.59,1.00
1.08,4.68,-1.00
2.66,0.50,1.00
2.23,1.94,1.00
1.52,1.69,1.00
0.26,4.00,-1.00
1.15,4.67,-1.00
0.65,4.55,-1.00
0.56,4.21,-1.00
0.74,4.12,-1.00
2.33,0.68,1.00
1.72,0.62,1.00
2.32,1.92,1.00
-0.05,5.47,-1.00
2.85,0.84,1.00
1.66,1.48,1.00
2.67,0.57,1.00
1.58,0.58,1.00
1.18,5.52,-1.00
1.88,4.64,-1.00
1.20,4.39,-1.00
2.06,1.33,1.00
2.34,3.43,-1.00
1.50,1.01,1.00
1.49,1.04,1.00
-0.24,5.54,-1.00
1.84,1.46,1.00
1.45,1.91,1.00
0.56,5.23,-1.00
2.22,1.76,1.00
1.83,0.16,1.00
1.68,4.20,-1.00
1.80,0.40,1.00
1.80,0.96,1.00
2.17,-0.17,1.00
1.65,1.68,1.00
1.55,4.21,-1.00
1.82,-0.93,1.00
2.02,4.90,-1.00
2.27,1.27,1.00
0.77,4.40,-1.00
0.95,4.13,-1.00
0.29,4.04,-1.00
1.86,4.82,-1.00
2.09,1.42,1.00
0.51,4.24,-1.00
2.27,1.13,1.00
2.25,1.50,1.00
2.46,0.47,1.00
0.97,4.40,-1.00
1.60,0.36,1.00
0.34,4.80,-1.00
0.90,4.13,-1.00
1.00,3.31,-1.00
3.26,0.87,1.00
2.55,1.71,1.00
3.17,0.77,1.00
1.60,0.87,1.00
1.55,0.70,1.00
-0.38,3.69,-1.00
0.24,4.81,-1.00
0.28,4.84,-1.00
0.88,0.50,1.00
2.35,0.88,1.00
1.87,3.06,-1.00
0.38,3.38,-1.00
0.35,5.03,-1.00
1.29,4.36,-1.00
1.93,1.16,1.00
0.55,4.87,-1.00
1.07,4.44,-1.00
1.76,0.91,1.00
1.50,1.05,1.00
3.11,0.82,1.00
1.70,1.57,1.00
1.49,1.51,1.00
0.79,3.30,-1.00
0.62,4.16,-1.00
2.59,4.26,-1.00
2.49,0.91,1.00
1.74,1.28,1.00
1.37,0.68,1.00
2.25,1.47,1.00
0.49,3.89,-1.00
2.34,2.55,1.00
1.27,4.23,-1.00
1.89,5.34,-1.00
1.15,-0.17,1.00
2.39,1.43,1.00
0.82,3.63,-1.00
0.71,4.14,-1.00
1.79,3.89,-1.00
2.01,0.11,1.00
1.28,1.66,1.00
1.50,4.47,-1.00
1.97,4.40,-1.00
1.64,0.72,1.00
2.85,1.02,1.00
0.88,5.66,-1.00
0.76,3.33,-1.00
1.32,4.17,-1.00
0.44,3.12,-1.00
1.74,0.19,1.00
0.75,4.16,-1.00
0.37,4.26,-1.00
2.13,5.19,-1.00
